         600127126 function calls (600120319 primitive calls) in 537.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45078    0.036    0.000    0.036    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:850(<listcomp>)
     1333    0.035    0.000    2.939    0.002 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:264(calc_fitFeas)
     1333    0.034    0.000    0.072    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:516(<listcomp>)
      883    0.034    0.000    0.034    0.000 {method 'findall' of 're.Pattern' objects}
   126108    0.033    0.000    0.033    0.000 {method 'replace' of 'str' objects}
    37095    0.033    0.000    0.033    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:601(<listcomp>)
      374    0.028    0.000    0.028    0.000 {method 'read' of '_io.FileIO' objects}
     5632    0.027    0.000    0.027    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:814(<listcomp>)
   124488    0.027    0.000    0.027    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:55(getName)
  972/961    0.027    0.000    0.122    0.000 {built-in method builtins.__build_class__}
     1333    0.025    0.000    0.025    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:409(<listcomp>)
   121303    0.025    0.000    0.025    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:63(getCharge)
    46690    0.025    0.000    0.025    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:22(getPrefSubjLists)
     1333    0.023    0.000    0.028    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:316(<listcomp>)
     1333    0.023    0.000    0.027    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:519(<listcomp>)
      562    0.022    0.000    0.035    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:990(<listcomp>)
     4758    0.022    0.000    0.022    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:938(<listcomp>)
    46655    0.021    0.000    0.021    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:344(<listcomp>)
    63/41    0.020    0.000    0.237    0.006 {built-in method _imp.exec_dynamic}
     1333    0.020    0.000    0.026    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:501(<listcomp>)
     1243    0.020    0.000    1.879    0.002 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\ioData.py:397(printTail)
     1243    0.018    0.000    3.051    0.002 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:981(selectionF)
        1    0.016    0.016    0.025    0.025 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:30(extractSubjIsPref)
     1244    0.014    0.000    5.597    0.004 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\ioData.py:388(printHead)
    31759    0.013    0.000    0.013    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:128(getCandList)
      592    0.013    0.000    0.013    0.000 {method 'close' of '_io.BufferedReader' objects}
       54    0.012    0.000    0.012    0.000 {built-in method nt.listdir}
     1333    0.012    0.000    0.016    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:498(<listcomp>)
     3110    0.012    0.000    0.015    0.000 {built-in method builtins.max}
     1246    0.012    0.000    0.012    0.000 {built-in method _locale._getdefaultlocale}
     2110    0.012    0.000    0.012    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:654(<listcomp>)
    749/4    0.011    0.000    1.322    0.330 {built-in method builtins.exec}
      642    0.011    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     1246    0.011    0.000    0.011    0.000 {built-in method _csv.writer}
    93382    0.010    0.000    0.010    0.000 {built-in method builtins.abs}
        1    0.010    0.010    0.013    0.013 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\ioData.py:116(getDataSubj)
     1333    0.010    0.000    0.010    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:312(<listcomp>)
      883    0.010    0.000    0.096    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\textwrap.py:414(dedent)
     1333    0.009    0.000    0.012    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:437(<listcomp>)
     1333    0.009    0.000    0.012    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:486(<listcomp>)
    29896    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
     1333    0.008    0.000    0.059    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:493(calc_f6)
     1333    0.008    0.000    0.012    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:462(<listcomp>)
   255/87    0.008    0.000    0.056    0.001 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:475(_parse)
    46655    0.008    0.000    0.008    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:28(getCharge)
    46655    0.008    0.000    0.008    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:30(getQuadriSabbath)
