sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;DAMCZA010-13SA;LABORATÛRIO DE ENGENHARIA DE SOFTWARE;Q3;DIURNO;4;JERONIMO CORDONI PELLEGRINI;DIURNO;18;Q3
G;NA1MCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;NOTURNO;2;CARLOS DA SILVA DOS SANTOS;NEGOCI·VEL;18;Q3
G;DAMCZA005-17SA;BANCO DE DADOS DE APOIO ‡ TOMADA DE DECIS„O;Q2;DIURNO;4;CRISTIANE SATO;NEGOCI·VEL;18;NENHUM
G;NAMCZA028-13SA;SISTEMAS MULTIAGENTES;Q3;NOTURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;DAMCTA007-17SA;COMPILADORES;Q2;DIURNO;4;JULIANA;DIURNO;18;Q1
G;NA1MCTA007-17SA;COMPILADORES;Q2;NOTURNO;4;LUIZ ROZANTE;NEGOCI·VEL;18;Q1
G;DA1MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;DIURNO;2;MARCIO KATSUMI OIKAWA;NEGOCI·VEL;18;Q1
G;DA2MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;DIURNO;2;LETÌCIA RODRIGUES BUENO;NEGOCI·VEL;18;Q1
G;NA3MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;HARLEN COSTA BATAGELO;NOTURNO;18;Q2
G;NA4MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;MARIO LESTON REY;NEGOCI·VEL;18;Q3
G;NAMCZA016-15SA;GEST„O DE PROJETOS DE SOFTWARE;Q3;NOTURNO;4;JERONIMO CORDONI PELLEGRINI;DIURNO;18;Q3
G;DAMCZA019-17SA;PROGRAMAÁ„O PARA WEB;Q3;DIURNO;4;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
