maxIter;100
numCand;30
numCandInit;100
convergDetect;0
stopFitValue;0.9
pctParentsCross;0
pctMut;30
pctElitism;100
w_alpha;1.0
w_beta;3.0
w_gamma;2.0
w_delta;10.0
w_omega;7.7
w_sigma;1.5
w_pi;1.0
w_rho;1.3

Best solutions found:;[0]
23;JERONIMO CORDONI PELLEGRINI;1;1;0;0;0;0;0;14.0
24;JOAO PAULO GOIS;4;4;0;2;0;0;0;4.0
25;JOSÉ ARTUR QUILICI-GONZALEZ;1;0;0;0;0;0;0;16.5
26;JULIANA;3;1;2;0;0;0;0;10.0
27;KARLA VITTORI;3;3;2;0;0;0;0;6.0
28;LETÍCIA RODRIGUES BUENO;2;2;0;0;0;0;0;12.0
29;LUIS PAULO SCOTT;3;2;1;0;0;0;0;10.0
30;LUIZ ROZANTE;2;0;0;1;0;0;0;11.0
31;MARCIO KATSUMI OIKAWA;5;1;0;1;0;0;0;1.0
32;MARIA DAS GRAÇAS BRUNO MARIETTO;3;2;0;0;0;0;0;10.0
33;MARIO LESTON REY;4;0;0;3;0;0;0;11.0
34;MIRTHA L. F. VENERO;1;0;1;1;0;0;0;16.0
35;MONAEL;2;1;2;0;0;0;0;12.0
36;Total;91;52;13;13;0;0;0;347.0

sLevel;sCode;sName;sQuadri;sPeriod;sCampus;sCharge;sTimetableList;pName;pPeriod;pCharge;pQuadriSabbath;pPrefCampus;pPrefSubjQ1List;pPrefSubjQ2List;pPrefSubjQ3List;pPrefSubjLimList
G;DAMCZA038-17SA;PRÁTICA AVANÇADA DE PROGRAMAÇÃO A;Q3;DIURNO;SA;4;[['SEGUNDA', '08:00 ÀS 10:00', 'SEMANAL'], ['QUINTA', '10:00 ÀS 12:00', 'SEMANAL ']];LETÍCIA RODRIGUES BUENO;NEGOCIÁVEL;18;Q1;SA;['ALGORITMOS E ESTRUTURAS DE DADOS I', 'LINGUAGENS FORMAIS E AUTOMATA'];['ANÁLISE DE ALGORITMOS', 'PROGRAMAÇÃO ORIENTADA A OBJETOS'];['PROGRAMAÇÃO ESTRUTURADA', 'ALGORITMOS E ESTRUTURAS DE DADOS II', 'TEORIA DOS GRAFOS'];['PROGRAMAÇÃO AVANÇADA PARA DISPOSITIVOS MÓVEIS', 'PROGRAMAÇÃO PARA WEB']
