         12676021 function calls (12669118 primitive calls) in 26.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\missing.py:183(_isna_ndarraylike)
       19    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\internals\managers.py:1546(external_values)
      506    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.001    0.001    3.424    3.424 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\ioData.py:389(printFinalResults)
       89    0.001    0.000    0.005    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\internals\managers.py:1443(__init__)
      601    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\ntpath.py:34(_get_bothseps)
      287    0.001    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\config.py:78(_get_single_key)
       76    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:536(_compile_info)
        1    0.001    0.001    0.001    0.001 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\defchararray.py:17(<module>)
       68    0.001    0.000    0.015    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\ops.py:1990(_arith_method_FRAME)
      770    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
       71    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\cast.py:953(maybe_cast_to_datetime)
     2671    0.001    0.000    0.001    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:86(setList)
      115    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\generic.py:5069(__setattr__)
      216    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\enum.py:70(__setitem__)
      277    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\function_base.py:431(add_newdoc)
      344    0.001    0.000    0.001    0.000 {method 'copy' of 'list' objects}
      616    0.001    0.000    0.004    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\missing.py:105(_isna_new)
      254    0.001    0.000    0.010    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\dtypes.py:68(find)
       19    0.001    0.000    0.001    0.000 {built-in method _codecs.unicode_escape_decode}
       16    0.001    0.000    0.012    0.001 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\series.py:3466(apply)
      594    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       66    0.001    0.000    0.004    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\internals\blocks.py:3034(get_block_type)
        3    0.001    0.000    0.001    0.000 {built-in method nt.rmdir}
        3    0.001    0.000    0.001    0.000 {pandas._libs.lib.map_infer_mask}
      506    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\inference.py:470(is_sequence)
