maxIter;numCand;numCandInit;randNewSol;convergDetect;stopFitValue;pctParentsCross;pctMut;pctElitism;w_alpha;w_beta;w_gamma;w_delta;w_omega;w_sigma;w_pi;w_rho
20;50;1000;100;500;0.9;100;90;100;1.0;3.0;2.0;3.0;2.0;1.5;1.0;1.3

Best solutions found:;[0, 1]
27;KARLA VITTORI;2;2;1;1;0;0;0;10.0
28;LETÍCIA RODRIGUES BUENO;4;2;0;0;0;0;0;9.0
29;LUIS PAULO SCOTT;1;1;1;0;0;0;0;15.0
30;LUIZ ROZANTE;1;1;0;0;0;0;0;16.0
31;MARCIO KATSUMI OIKAWA;4;3;0;1;0;0;0;6.0
32;MARIA DAS GRAÇAS BRUNO MARIETTO;1;1;0;0;0;0;0;16.0
33;MARIO LESTON REY;1;1;0;1;0;0;0;14.0
34;MIRTHA L. F. VENERO;3;3;1;1;0;0;0;8.0
35;MONAEL;1;1;1;0;0;0;0;14.0
36;Total;91;70;20;18;0;0;0;347.0

sLevel;sCode;sName;sQuadri;sPeriod;sCampus;sCharge;sTimetableList;pName;pPeriod;pCharge;pQuadriSabbath;pPrefCampus;pPrefSubjQ1List;pPrefSubjQ2List;pPrefSubjQ3List;pPrefSubjLimList
G;DAMCZA038-17SA;PRÁTICA AVANÇADA DE PROGRAMAÇÃO A;Q3;DIURNO;SA;4;[['SEGUNDA', '08:00 ÀS 10:00', 'SEMANAL'], ['QUINTA', '10:00 ÀS 12:00', 'SEMANAL ']];DIOGO SANTANA MARTINS;NEGOCIÁVEL;18;Q2;SA;['ALGORITMOS E ESTRUTURAS DE DADOS I'];['PARADIGMAS DE PROGRAMAÇÃO', 'PROGRAMAÇÃO ORIENTADA A OBJETOS'];['ALGORITMOS E ESTRUTURAS DE DADOS II', 'PROGRAMAÇÃO ESTRUTURADA', 'BANCO DE DADOS'];['SISTEMAS MULTIMÍDIA', 'PROGRAMAÇÃO PARA WEB', 'WEB SEMÂNTICA', 'PROGRAMAÇÃO AVANÇADA PARA DISPOSITIVOS MÓVEIS', 'SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS', 'ANÁLISE DE PROJETO', 'INTERAÇÃO HUMANO-COMPUTADOR', 'BANCO DE DADOS DE APOIO À TOMADA DE DECISÃO', 'TÉCNICAS AVANÇADAS DE PROGRAMAÇÃO', 'SISTEMAS DE INFORMAÇÃO']
G;NA1MCTA018-13SA;PROGRAMAÇÃO ORIENTADA A OBJETOS;Q2;NOTURNO;SA;2;[['TERCA', '19:00 ÀS 21:00', 'SEMANAL '], ['QUINTA', '19:00 ÀS 21:00', 'SEMANAL ']];ALEXANDRE NOMA;NOTURNO;18;Q2;SA;['MATEMÁTICA DISCRETA'];['PROGRAMAÇÃO ORIENTADA A OBJETOS'];['TEORIA DOS GRAFOS'];['']
G;NA2MCTA018-13SA;PROGRAMAÇÃO ORIENTADA A OBJETOS;Q2;NOTURNO;SA;2;[['TERCA', '19:00 ÀS 21:00', 'SEMANAL '], ['QUINTA', '21:00 ÀS 23:00', 'SEMANAL ']];CRISTIANE SATO;NEGOCIÁVEL;18;NENHUM;SA;['LINGUAGENS FORMAIS E AUTOMATA', 'MATEMÁTICA DISCRETA', 'ALGORITMOS E ESTRUTURAS DE DADOS I'];['ANÁLISE DE ALGORITMOS', 'PARADIGMAS DE PROGRAMAÇÃO'];['PROGRAMAÇÃO ESTRUTURADA', 'ALGORITMOS E ESTRUTURAS DE DADOS II', 'TEORIA DOS GRAFOS', 'PROGRAMAÇÃO MATEMÁTICA'];['ALGORITMOS PROBABILÍSTICOS', 'ANALISE DE ALGORITMOS II', 'COMBINATÓRIA EXTREMAL', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO A', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO B', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO C', 'TÉCNICAS AVANÇADAS DE PROGRAMAÇÃO', 'TEORIA ESPECTRAL DE GRAFOS']
G;DAMCTA016-13SA;PARADIGMAS DE PROGRAMAÇÃO;Q2;DIURNO;SA;4;[['SEGUNDA', '10:00 ÀS 12:00', 'SEMANAL '], ['QUINTA', '08:00 ÀS 10:00', 'SEMANAL ']];ANDRÉ LUIZ BRANDÃO;NEGOCIÁVEL;18;Q2;SA;['INTERAÇÃO HUMANO-COMPUTADOR', 'ENGENHARIA DE SOFTWARE', 'INTRODUÇÃO A PROGRAMAÇÃO DE JOGOS'];['PROGRAMAÇÃO ORIENTADA A OBJETOS', 'INTERAÇÃO HUMANO-COMPUTADOR'];['INTERAÇÃO HUMANO-COMPUTADOR', 'COMPUTAÇÃO GRÁFICA'];['']
G;DA1MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;SA;4;[['QUARTA', '08:00 ÀS 10:00', 'SEMANAL '], ['SEXTA', '08:00 ÀS 10:00', 'SEMANAL ']];CRISTIANE SATO;NEGOCIÁVEL;18;NENHUM;SA;['LINGUAGENS FORMAIS E AUTOMATA', 'MATEMÁTICA DISCRETA', 'ALGORITMOS E ESTRUTURAS DE DADOS I'];['ANÁLISE DE ALGORITMOS', 'PARADIGMAS DE PROGRAMAÇÃO'];['PROGRAMAÇÃO ESTRUTURADA', 'ALGORITMOS E ESTRUTURAS DE DADOS II', 'TEORIA DOS GRAFOS', 'PROGRAMAÇÃO MATEMÁTICA'];['ALGORITMOS PROBABILÍSTICOS', 'ANALISE DE ALGORITMOS II', 'COMBINATÓRIA EXTREMAL', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO A', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO B', 'PRÁTICA AVANÇADA DE PROGRAMAÇÃO C', 'TÉCNICAS AVANÇADAS DE PROGRAMAÇÃO', 'TEORIA ESPECTRAL DE GRAFOS']
G;DA2MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;SA;4;[['QUARTA', '08:00 ÀS 10:00', 'SEMANAL '], ['SEXTA', '10:00 ÀS 12:00', 'SEMANAL ']];MIRTHA L. F. VENERO;DIURNO;18;Q2;SA;['ALGORITMOS E ESTRUTURAS DE DADOS I', 'LINGUAGENS FORMAIS E AUTOMATA'];['COMPILADORES', 'PROGRAMAÇÃO ORIENTADA A OBJETOS', 'PARADIGMAS DE PROGRAMAÇÃO', 'ANÁLISE DE ALGORITMOS'];['LÓGICA BÁSICA', 'ALGORITMOS E ESTRUTURAS DE DADOS II', 'PROGRAMAÇÃO ESTRUTURADA'];['LÓGICAS NÃO CLÁSSICAS', 'SEMÂNTICA DE LINGUAGEM DE PROGRAMAÇÃO']
G;DAMCTA027-17SA;TEORIA DOS GRAFOS;Q3;DIURNO;SA;4;[['QUARTA', '10:00 ÀS 12:00', 'SEMANAL'], ['SEXTA', '08:00 ÀS 10:00', 'SEMANAL ']];KARLA VITTORI;NOTURNO;18;Q2;SA;[''];['COMPUTADORES, ÉTICA E SOCIEDADE'];[''];['VIDA ARTIFICIAL NA COMPUTAÇÃO']
