G;NA3BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2
EX;;NTME - Novas Tecnologias e Metodologias para Educação;Q1;;SA;2
G;DA3BCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;2
G;DSBCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;5
EX;;NTME - Novas Tecnologias e Metodologias para Educação;Q2;;SA;2
G;DA1BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3
PG;INF103M172;Avaliação de Desempenho de Redes e Sistemas;Q2;;SA;4
PG;CCM002D173;Metodologia de Pesquisa em Ciência da Computação;Q3;;SA;2
G;NA2BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2
G;NAMCZA002-13SA;Aprendizado de Máquina;Q1;Noturno;SA;4
PG;CCM304M171;Visão Computacional e Processamento de Imagens;Q1;Noturno;SA;4
G;DABIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Diurno;SB;3
G;DBBIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Diurno;SB;3
G;NA1MCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;1
G;DABCN0404-15SA;Geometria Analítica;Q1;Diurno;SA;3
G;DA1BCN0407-15SA;Funções de Várias Variáveis;Q1;Diurno;SA;4
G;DB2BCN0407-15SA;Funções de Várias Variáveis;Q1;Diurno;SA;4
G;;Coordenadora de Geometria Analítica;Q1;Noturno;SA;1
G;DABIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4
G;DBBIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4
PG;FIS102M172;Mecânica Quântica II;Q2;;SA;4
G;NAMCTB001-17SA;Álgebra Linear;Q2;Noturno;SA;6
G;NA4BCN0404-15SA;Geometria Analítica;Q3;Noturno;SA;3
G;NAMCTB003-17SA;Álgebra Linear Avançada II;Q3;Noturno;SA;4
G;NA2BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2
G;NB2BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2
G;DAMCTA006-13SA;Circuitos Digitais;Q1;Diurno;SA;4
G;NA1MCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;1
G;DA3BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3
G;DB1BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3
G;NB2BIS0005-15SB;Bases Computacionais da Ciência;Q2;Noturno;SB;2
G;DAMCTB002-13SA;Álgebra Linear Avançada I;Q2;Diurno;SA;4
G;NAMCTB002-13SA;Álgebra Linear Avançada I;Q2;Noturno;SA;4
G;DA1BCN0404-15SB;Geometria Analítica;Q3;Diurno;SB;3
G;DBBCN0404-15SB;Geometria Analítica;Q3;Diurno;SB;3
G;DAMCZC007-15SB;Ergonomia Cognitiva;Q1;Diurno;SB;1
