G;DA3BCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;1;terca das 08:00 às 10:00, sala A - 101-0, semanal/sexta das 10:00 às 12:00, sala A - 101-0, quinzenal I;quinta das 10:00 às 12:00, sala L503, semanal 
G;NA2BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;2;terca das 19:00 às 21:00, sala A - 101-0, semanal/sexta das 21:00 às 23:00, sala A - 101-0, quinzenal I;quinta das 21:00 às 23:00, sala 404-2, semanal 
G;NA5BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 21:00 às 23:00, Lab. L603, semanal 
G;NB5BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 19:00 às 21:00, Lab. L603, semanal 
G;DA3BCM0505-15SB;Processamento da Informação;Q1;Diurno;SB;1,5;terca das 08:00 às 10:00, sala A2-S102-SB, semanal/sexta das 10:00 às 12:00, sala A2-S102-SB, quinzenal I;quinta das 10:00 às 12:00, sala A1-L101-SB, semanal 
G;DA4BCM0505-15SB;Processamento da Informação;Q1;Diurno;SB;3,5;terca das 08:00 às 10:00, sala A2-S102-SB, semanal/sexta das 10:00 às 12:00, sala A2-S102-SB, quinzenal I;quinta das 10:00 às 12:00, sala A2-L001-SB, semanal 
G;DB2BCM0505-15SB;Processamento da Informação;Q1;Diurno;SB;2;terca das 10:00 às 12:00, sala A2-S105-SB, semanal/sexta das 08:00 às 10:00, sala A2-S105-SB, quinzenal I;quinta das 08:00 às 10:00, sala A1-L002-SB, semanal 
G;;Coordenador de Estágio do BCC;Q1;Noturno;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;;Coordenador de Estágio do BCC;Q3;;;2;0;Terça das 14:00 às18:00, Lab. 407-2
PG;CCM209D173;Interação Humano-Computador;Q3;;SA;4;#N/D;#N/D
G;DAMCTB008-17SA;Cálculo de Probabilidade;Q2;Diurno;SA;4;terca das 10:00 às 12:00, Lab. S - 501, semanal/sexta das 08:00 às 10:00, Lab. S - 501, semanal ;0
G;DANHT3036-15SA;Mecânica Estatística;Q2;Diurno;SA;6;segunda das 10:00 às 12:00, Lab. S - 308-3, semanal/quarta das 08:00 às 10:00, Lab. S - 308-3, semanal/sexta das 10:00 às 12:00, Lab. S - 308-3, semanal ;0
G;NABCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q3;Noturno;SB;4;terca das 19:00 às 21:00, Lab. A2-S105-SB, semanal/sexta das 21:00 às 23:00, Lab. A2-S105-SB, semanal ;0
G;DAMCZB020-13SA;Introdução aos Sistemas Dinâmicos;Q3;Diurno;SA;4;segunda das 10:00 às 12:00, sala S - 502, semanal/quarta das 08:00 às 10:00, sala S - 502, semanal ;0
G;NAMCTC001-15SB;Introdução à Filosofia da Mente;Q2;Noturno;SB;2;quinta das 19:00 às 21:00, Lab. A2-S301-SB, semanal ;0
PG;NCG301D172;Filosofia da Mente e da Neurociência;Q2;;SB;2;#N/D;#N/D
PG;NCG003D173;Ciências Cognitivas;Q3;;SB;3;#N/D;#N/D
G;DAMCTB004-13SA;Análise no Rn I;Q1;Diurno;SA;4;terca das 08:00 às 10:00, sala S - 501, semanal/quinta das 10:00 às 12:00, sala S - 501, semanal ;0
G;DAMCTB005-13SA;Análise Real I;Q2;Diurno;SA;4;terca das 08:00 às 10:00, Lab. S - 501, semanal/quinta das 10:00 às 12:00, Lab. S - 501, semanal ;0
G;DAMCTB009-17SA;Cálculo Numérico;Q2;Diurno;SA;4;quarta das 08:00 às 10:00, Lab. A - 107-0, semanal/sexta das 10:00 às 12:00, Lab. S - 211-0, semanal ;0
G;DBMCTB009-17SA;Cálculo Numérico;Q2;Diurno;SA;4;quarta das 10:00 às 12:00, Lab. A - 107-0, semanal/sexta das 08:00 às 10:00, Lab. S - 211-0, semanal ;0
G;;Coordenador de Cálculo Numérico;Q2;;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;NAMCZB005-17SA;Análise Numérica;Q3;Noturno;SA;4;segunda das 21:00 às 23:00, sala S - 502, semanal/quarta das 19:00 às 21:00, sala S - 502, semanal ;0
G;DAMCTB009-17SB;Cálculo Numérico;Q3;Diurno;SB;4;segunda das 08:00 às 10:00, Lab. A2-S106-SB, semanal/quarta das 10:00 às 12:00, Lab. A2-S106-SB, semanal ;0
G;DAMCTB001-13SB;Álgebra Linear;Q1;Diurno;SB;6;segunda das 08:00 às 10:00, sala A1-S202-SB, semanal/quarta das 10:00 às 12:00, sala A1-S202-SB, semanal/sexta das 08:00 às 10:00, sala A1-S202-SB, semanal ;0
G;NA1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q2;Noturno;SB;4;terca das 19:00 às 21:00, Lab. A2-S208-SB, semanal/sexta das 21:00 às 23:00, Lab. B-A004-SB, semanal ;0
G;NAMCZB008-13SA;Formas Diferenciais;Q2;Noturno;SA;4;segunda das 21:00 às 23:00, Lab. S - 502, semanal/quarta das 19:00 às 21:00, Lab. S - 502, semanal ;0
G;DABCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q3;Diurno;SB;4;terca das 08:00 às 10:00, Lab. A2-S105-SB, semanal/sexta das 10:00 às 12:00, Lab. A2-S105-SB, semanal ;0
G;;Coord. De Introdução às Equações Diferenciais Ordinárias;Q3;Noturno;;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;DAMCTB009-13SB;Cálculo Numérico;Q1;Diurno;SB;4;segunda das 08:00 às 10:00, sala A1-S201-SB, semanal/quarta das 10:00 às 12:00, sala A1-S201-SB, semanal ;0
G;NAMCTB009-13SB;Cálculo Numérico;Q1;Noturno;SB;4;segunda das 19:00 às 21:00, sala A2-S103-SB, semanal/quarta das 21:00 às 23:00, sala A2-S103-SB, semanal ;0
G;NABIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Noturno;SB;3;terca das 19:00 às 21:00, Lab. A2-S103-SB, quinzenal I/sexta das 21:00 às 23:00, Lab. A2-S103-SB, semanal ;0
G;NBBIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Noturno;SB;3;terca das 21:00 às 23:00, Lab. A2-S104-SB, quinzenal I/sexta das 19:00 às 21:00, Lab. A2-S104-SB, semanal ;0
G;NAMCTB009-17SB;Cálculo Numérico;Q3;Noturno;SB;4;segunda das 19:00 às 21:00, Lab. A2-S106-SB, semanal/quarta das 21:00 às 23:00, Lab. A2-S106-SB, semanal ;0
G;NB1BCM0506-15SA;Comunicação e Redes;Q2;Noturno;SA;3;segunda das 21:00 às 23:00, Lab. S - 207-0, semanal/terca das 19:00 às 21:00, Lab. S - 207-0, quinzenal I;0
G;DA1BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 10:00 às 12:00, Lab. 408-2, semanal 
